title,company,location,posted_date,apply_url,source,category,application_status,notes,date_applied,scraped_at
Software Engineer (.NET Developer)- For Naas Solutions Limited- Job ID: 1485627,Bdjobs.com,"Dhaka, Bangladesh",2026-05-09,https://bd.linkedin.com/jobs/view/software-engineer-net-developer-for-naas-solutions-limited-job-id-1485627-at-bdjobs-com-4411976084,linkedin.com,software engineer,Not Applied,,,2026-05-19
Software Engineer (HRM & Payroll Systems)- For Aleya Apparels ltd - Job ID: 1484028,Bdjobs.com,"Dhaka, Bangladesh",2026-05-04,https://bd.linkedin.com/jobs/view/software-engineer-hrm-payroll-systems-for-aleya-apparels-ltd-job-id-1484028-at-bdjobs-com-4407731668,linkedin.com,software engineer,Not Applied,,,2026-05-19
Senior Software Engineer (Full-Stack) - (For Analyzen Bangladesh Limited) - Job ID - 1487749,Bdjobs.com,"Gulshan, Dhaka, Bangladesh",2026-05-14,https://bd.linkedin.com/jobs/view/senior-software-engineer-full-stack-for-analyzen-bangladesh-limited-job-id-1487749-at-bdjobs-com-4411137273,linkedin.com,software engineer,Not Applied,,,2026-05-19
Manager – Estimation (Engineer & Constructions Department),ASSURE GROUP | এশিউর গ্রুপ,"Dhaka, Dhaka, Bangladesh",2025-04-04,https://bd.linkedin.com/jobs/view/manager-%E2%80%93-estimation-engineer-constructions-department-at-assure-group-%E0%A6%8F%E0%A6%B6%E0%A6%BF%E0%A6%89%E0%A6%B0-%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A7%81%E0%A6%AA-4201036821,linkedin.com,software engineer,Not Applied,,,2026-05-19
Senior Software Engineer,nextjobz,"Dhaka, Dhaka, Bangladesh",2026-05-07,https://bd.linkedin.com/jobs/view/senior-software-engineer-at-nextjobz-4409284412,linkedin.com,software engineer,Not Applied,,,2026-05-19
Principal Software Engineer /Architect,Field Nation,"Dhaka, Dhaka, Bangladesh",2026-05-12,https://bd.linkedin.com/jobs/view/principal-software-engineer-architect-at-field-nation-4366175551,linkedin.com,software engineer,Not Applied,,,2026-05-19
Senior Software Q/A Engineer- Revinr IT Ltd- Job ID:1488154,Bdjobs.com,"Dhaka, Bangladesh",2026-05-16,https://bd.linkedin.com/jobs/view/senior-software-q-a-engineer-revinr-it-ltd-job-id-1488154-at-bdjobs-com-4412072410,linkedin.com,software engineer,Not Applied,,,2026-05-19
"Senior Engineer/ Asst. Manager, PLC Automation (For Energy control & Engineering ltd)-Job ID: 1488269",Bdjobs.com,"Dhaka, Bangladesh",2026-05-17,https://bd.linkedin.com/jobs/view/senior-engineer-asst-manager-plc-automation-for-energy-control-engineering-ltd-job-id-1488269-at-bdjobs-com-4412223045,linkedin.com,software engineer,Not Applied,,,2026-05-19
Assistant Manager / Deputy Manager - Mobile Software Engineer (Android & iOS) - (For Tekvision (BD) Limited)-Job ID: 1487900,Bdjobs.com,"Chattogram, Bangladesh",2026-05-16,https://bd.linkedin.com/jobs/view/assistant-manager-deputy-manager-mobile-software-engineer-android-ios-for-tekvision-bd-limited-job-id-1487900-at-bdjobs-com-4412080285,linkedin.com,software engineer,Not Applied,,,2026-05-19
DevOps Engineer - For BDTASK - Job ID : 1486983,Bdjobs.com,"Khilkhet Thana, Dhaka, Bangladesh",2026-05-12,https://bd.linkedin.com/jobs/view/devops-engineer-for-bdtask-job-id-1486983-at-bdjobs-com-4410146402,linkedin.com,software engineer,Not Applied,,,2026-05-19
Senior Software Engineer (Full stack),Field Nation,"Dhaka, Dhaka, Bangladesh",2026-04-30,https://bd.linkedin.com/jobs/view/senior-software-engineer-full-stack-at-field-nation-4399295782,linkedin.com,software engineer,Not Applied,,,2026-05-19
Senior Software Engineer (For Team Group) - Job ID : 1482142,Bdjobs.com,"Dhaka, Bangladesh",2026-04-30,https://bd.linkedin.com/jobs/view/senior-software-engineer-for-team-group-job-id-1482142-at-bdjobs-com-4406438808,linkedin.com,software engineer,Not Applied,,,2026-05-19
Software Engineer - Full Stack Developer (PHP) - (For Shell ERP) - Job ID - 1484757,Bdjobs.com,"Uttara, Dhaka, Bangladesh",2026-05-06,https://bd.linkedin.com/jobs/view/software-engineer-full-stack-developer-php-for-shell-erp-job-id-1484757-at-bdjobs-com-4408498157,linkedin.com,software engineer,Not Applied,,,2026-05-19
Senior Full-stack Software Engineer- For Mac Technology Australia- Job ID: 1480836,Bdjobs.com,"Dhaka, Bangladesh",2026-04-26,https://bd.linkedin.com/jobs/view/senior-full-stack-software-engineer-for-mac-technology-australia-job-id-1480836-at-bdjobs-com-4404623828,linkedin.com,software engineer,Not Applied,,,2026-05-19
Remote Software Engineer (Rust),Turing,Bangladesh,2026-05-18,https://bd.linkedin.com/jobs/view/remote-software-engineer-rust-at-turing-4416266695,linkedin.com,software engineer,Not Applied,,,2026-05-19
Remote Software Engineer (Go/Golang),Turing,Bangladesh,2026-05-18,https://bd.linkedin.com/jobs/view/remote-software-engineer-go-golang-at-turing-4416282244,linkedin.com,software engineer,Not Applied,,,2026-05-19
Transportation Management System - Lead Full Stack Python/FastApi/React Engineer [REMOTE],Anovium,"Dhaka, Dhaka, Bangladesh",2025-02-23,https://bd.linkedin.com/jobs/view/transportation-management-system-lead-full-stack-python-fastapi-react-engineer-remote-at-anovium-4163289640,linkedin.com,software engineer,Not Applied,,,2026-05-19
Senior Manager / AGM (Full-stack Software Engineer) - For Ispahani Islamia Eye Institute & Hospital- Job ID: 1484213,Bdjobs.com,"Dhaka, Bangladesh",2026-05-04,https://bd.linkedin.com/jobs/view/senior-manager-agm-full-stack-software-engineer-for-ispahani-islamia-eye-institute-hospital-job-id-1484213-at-bdjobs-com-4407733367,linkedin.com,software engineer,Not Applied,,,2026-05-19
𝐉𝐚𝐯𝐚 & 𝐃𝐞𝐯𝐎𝐩𝐬 𝐄𝐧𝐠𝐢𝐧𝐞𝐞𝐫 (𝐀𝐳𝐮𝐫𝐞 𝐏𝐫𝐞𝐟𝐞𝐫𝐫𝐞𝐝),ADN DigiNet Ltd.,"Dhaka, Bangladesh",2026-04-26,https://bd.linkedin.com/jobs/view/%F0%9D%90%89%F0%9D%90%9A%F0%9D%90%AF%F0%9D%90%9A-%F0%9D%90%83%F0%9D%90%9E%F0%9D%90%AF%F0%9D%90%8E%F0%9D%90%A9%F0%9D%90%AC-%F0%9D%90%84%F0%9D%90%A7%F0%9D%90%A0%F0%9D%90%A2%F0%9D%90%A7%F0%9D%90%9E%F0%9D%90%9E%F0%9D%90%AB-%F0%9D%90%80%F0%9D%90%B3%F0%9D%90%AE%F0%9D%90%AB%F0%9D%90%9E-%F0%9D%90%8F%F0%9D%90%AB%F0%9D%90%9E%F0%9D%90%9F%F0%9D%90%9E%F0%9D%90%AB%F0%9D%90%AB%F0%9D%90%9E%F0%9D%90%9D-at-adn-diginet-ltd-4407126466,linkedin.com,software engineer,Not Applied,,,2026-05-19
Senior Software Engineer - (For FinSource Limited) - Job ID: 1484414,Bdjobs.com,"Dhaka, Bangladesh",2026-05-05,https://bd.linkedin.com/jobs/view/senior-software-engineer-for-finsource-limited-job-id-1484414-at-bdjobs-com-4408178253,linkedin.com,software engineer,Not Applied,,,2026-05-19
Senior Software Engineer (.NET) - (For Weblink Communications Ltd.) - Job ID - 1479211,Bdjobs.com,"Banani, Dhaka, Bangladesh",2026-04-21,https://bd.linkedin.com/jobs/view/senior-software-engineer-net-for-weblink-communications-ltd-job-id-1479211-at-bdjobs-com-4401916064,linkedin.com,software engineer,Not Applied,,,2026-05-19
